timestamp,value
2019-08-23 19:05:00,33320.0
2019-08-23 19:10:00,32636.0
2019-08-23 19:15:00,33326.0
2019-08-23 19:20:00,33015.0
2019-08-23 19:25:00,31773.0
2019-08-23 19:30:00,32138.0
2019-08-23 19:35:00,32548.0
2019-08-23 19:40:00,32968.0
2019-08-23 19:45:00,31746.0
2019-08-23 19:50:00,31990.0
2019-08-23 19:55:00,30896.0
2019-08-23 20:00:00,31145.0
2019-08-23 20:05:00,30998.0
2019-08-23 20:10:00,31458.0
2019-08-23 20:15:00,30898.0
2019-08-23 20:20:00,30209.0
2019-08-23 20:25:00,30579.0
2019-08-23 20:30:00,29161.0
2019-08-23 20:35:00,29192.0
2019-08-23 20:40:00,29232.0
2019-08-23 20:45:00,28360.0
2019-08-23 20:50:00,27979.0
2019-08-23 20:55:00,26586.0
2019-08-23 21:00:00,27124.0
2019-08-23 21:05:00,26202.0
2019-08-23 21:10:00,26441.0
2019-08-23 21:15:00,25692.0
2019-08-23 21:20:00,25668.0
2019-08-23 21:25:00,25540.0
2019-08-23 21:30:00,25631.0
2019-08-23 21:35:00,25158.0
2019-08-23 21:40:00,25607.0
2019-08-23 21:45:00,24600.0
2019-08-23 21:50:00,24285.0
2019-08-23 21:55:00,26770.0
2019-08-23 22:00:00,26586.0
2019-08-23 22:05:00,27571.0
2019-08-23 22:10:00,26209.0
2019-08-23 22:15:00,25629.0
2019-08-23 22:20:00,26099.0
2019-08-23 22:25:00,26019.0
2019-08-23 22:30:00,24966.0
2019-08-23 22:35:00,22308.0
2019-08-23 22:40:00,21972.0
2019-08-23 22:45:00,21219.0
2019-08-23 22:50:00,21216.0
2019-08-23 22:55:00,20873.0
2019-08-23 23:00:00,21476.0
2019-08-23 23:05:00,21053.0
2019-08-23 23:10:00,21023.0
2019-08-23 23:15:00,20219.0
2019-08-23 23:20:00,19964.0
2019-08-23 23:25:00,19761.0
2019-08-23 23:30:00,21049.0
2019-08-23 23:35:00,21431.0
2019-08-23 23:40:00,20301.0
2019-08-23 23:45:00,47436.0
2019-08-23 23:50:00,19317.0
2019-08-23 23:55:00,23368.0
2019-08-24 00:00:00,26508.0
2019-08-24 00:05:00,25494.0
2019-08-24 00:10:00,25565.0
